experimento,view,IoU,Dice,Precision,Recall,ROI_PA
10-5media-5alta,7,0.5693509846466533,0.725587826071738,0.7341384378375507,0.7172341014462666,0.7684383861058601
10-5media-5alta,8,0.49402499467874844,0.6613343102535922,0.6124125972973482,0.7187506912340463,0.7542533081285444
10-5media-5alta,9,0.31509675701758766,0.47919935219393694,0.37860370266703985,0.6525949410710593,0.6960509215500945
2-mikey-puma,0,0.9836435847683725,0.9917543578104343,0.9865298365640441,0.9970345103100704,0.9920540238011076
2-mikey-puma,1,0.9832245345831241,0.9915413181289621,0.989148128052089,0.9939461166782605,0.9934466724789306
3-heroes,0,0.8661069283478555,0.9282500538322925,0.8925722505557735,0.9668988313068114,0.953754565376187
3-heroes,1,0.8844621513944223,0.9386892177589852,0.9485417053687535,0.9290393013100436,0.9557926829268293
3-heroes,2,0.9015476821313063,0.948225164799262,0.9226899556785667,0.9752139624058664,0.9603216684340756
3-bunny-teddy-duck,0,0.9656038193241973,0.9825009595842011,0.9707787766876811,0.9945096940205345,0.9795754994124559
3-bunny-teddy-duck,1,0.9796622441808464,0.9897266536860336,0.9869238278107334,0.9925454447381197,0.9858961483931947
3-bunny-teddy-duck,2,0.979870047139763,0.9898326898326898,0.9855546883191016,0.9941479923383354,0.9872701970262946
3-mikey-puma-heart,0,0.9693088882897457,0.9844152880775813,0.9746961276038136,0.9943302295565594,0.9849107458465889
3-mikey-puma-heart,1,0.9437957118077288,0.9710852905730504,0.9507836425869213,0.9922728383688356,0.977225627871252
3-mikey-puma-heart,2,0.9847709239825954,0.9923270359146302,0.9908044250351407,0.9938543337172132,0.9895689522932966
